label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
1,38187997.0,8147871.0,9908844.0,1141687.0,12670911.0,3886175.0,3786013.0,4861189.0,9263782.0,3647691.0,3391333.0,1329210.0
2,37800586.0,8240811.0,9849424.0,1050358.0,10569363.0,1084730.0,3952679.0,3780968.0,10000838.0,3292303.0,4062093.0,1639719.0
3,36832495.0,7922272.0,9662003.0,265552.0,9933589.0,701891.0,4012569.0,6346949.0,7503870.0,3129541.0,1033994.0,1190539.0
4,41317391.0,8250495.0,10114658.0,1964270.0,10540880.0,2239640.0,3829897.0,5952861.0,7293023.0,3271183.0,2649737.0,1534801.0
5,35576166.0,7235485.0,8809822.0,423047.0,8742054.0,1377778.0,3673605.0,5437428.0,11935433.0,3337892.0,1399023.0,1759899.0
6,42181704.0,9719085.0,12228711.0,158735.0,11974475.0,5091847.0,4541106.0,6026702.0,8739832.0,3509241.0,1799874.0,1680269.0
7,40190890.0,8295654.0,9936245.0,890662.0,10205802.0,2946073.0,3821411.0,4080248.0,14061022.0,4653843.0,2472454.0,1266786.0
8,73197606.0,15164154.0,19161975.0,1724577.0,18997006.0,3918041.0,6776229.0,7465541.0,16638055.0,9947764.0,10448919.0,2323171.0
9,41227337.0,8262362.0,9972284.0,888703.0,10023316.0,1782230.0,4068136.0,3915623.0,7965669.0,3597188.0,2241512.0,1434141.0
10,36576670.0,8110444.0,9945260.0,742697.0,9703276.0,659709.0,3937279.0,3849929.0,9756370.0,2640997.0,1148818.0,1598929.0
11,46140079.0,9658986.0,12154785.0,1066089.0,12660999.0,3287710.0,4559641.0,5091050.0,12034644.0,4280903.0,2563734.0,1497030.0
12,53907530.0,9856124.0,12343584.0,1195754.0,13980170.0,2986093.0,4901477.0,5329768.0,18129578.0,7420515.0,8477409.0,2059474.0
13,34595077.0,8073877.0,9900977.0,911351.0,9808241.0,2242584.0,3781890.0,4010698.0,10651728.0,2855476.0,1527888.0,1308520.0
14,34470453.0,8177740.0,9945376.0,1179012.0,10262159.0,2004186.0,3999393.0,4422577.0,11171332.0,4608768.0,2464517.0,1796718.0
15,46176285.0,9624099.0,12140306.0,1300061.0,14779023.0,2135897.0,5105518.0,6171796.0,9103651.0,4931610.0,3561006.0,2104774.0
16,48486913.0,8472242.0,10294386.0,7313114.0,9759557.0,2056448.0,4578267.0,4803087.0,7219786.0,3682581.0,1989769.0,1442606.0
