label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
1,12989798.0,2848873.0,3332086.0,405844.0,5224381.0,493931.0,1302966.0,1363468.0,3527481.0,1593017.0,2674939.0,524971.0
2,14157397.0,2902795.0,3349696.0,338523.0,4365613.0,358376.0,1443428.0,1388613.0,3759998.0,1098891.0,3286285.0,838757.0
3,13893909.0,2806332.0,3332386.0,42605.0,3504155.0,80394.0,1420891.0,2743003.0,2643072.0,978766.0,382270.0,425373.0
4,13966716.0,2855116.0,3345086.0,241276.0,3925033.0,775686.0,1308053.0,1495552.0,2664454.0,1419974.0,1871936.0,478670.0
5,14100383.0,2646443.0,2996569.0,162645.0,3049169.0,109445.0,1424343.0,1995701.0,6111080.0,1275899.0,269610.0,894926.0
6,15624253.0,3676294.0,4434234.0,1469.0,4513173.0,1619300.0,1751788.0,1791710.0,3689073.0,1391196.0,1039172.0,541979.0
7,14287264.0,2909546.0,3316907.0,313632.0,3630400.0,1170985.0,1337273.0,1357785.0,6451968.0,2425446.0,1802384.0,447965.0
8,31788661.0,5961727.0,7537562.0,659882.0,7912057.0,1527166.0,2654331.0,2878296.0,7517102.0,4582094.0,8241762.0,942944.0
9,15327949.0,2883096.0,3375842.0,313632.0,3575900.0,733574.0,1531213.0,1292839.0,2579987.0,939623.0,828704.0,453114.0
10,12920855.0,2842593.0,3393645.0,300088.0,3447539.0,124153.0,1413567.0,1368585.0,4700594.0,864676.0,348581.0,810389.0
11,17295772.0,3636636.0,4396515.0,392040.0,5395643.0,771996.0,1763963.0,2011467.0,5720859.0,1694594.0,1791406.0,556538.0
12,22794389.0,3804599.0,4561090.0,445685.0,5886320.0,1199212.0,1920209.0,2097655.0,8922499.0,3329355.0,6266570.0,1080678.0
13,12094308.0,2785750.0,3332725.0,322017.0,3516629.0,633316.0,1360444.0,1380346.0,4117005.0,1033145.0,897154.0,424538.0
14,11952133.0,2890276.0,3340420.0,419311.0,3694616.0,700443.0,1440431.0,1605832.0,4681479.0,1464542.0,1787634.0,855952.0
15,17377656.0,3638154.0,4369996.0,448209.0,7246534.0,173363.0,2252819.0,1841159.0,3739061.0,2444212.0,2980393.0,935763.0
